Log file created at  2019-05-16 18:48:41
Run script: main_Meta_Bayes.py
Parameters:
Namespace(K_Shot_MetaTest=50, K_Shot_MetaTrain=50, N_Way=5, batch_size=16, chars_split_type='random', complexity_type='NewBoundSeeger', data_path='/data5/tlgao/meta/meta-learning-adjusting-priors/ML_data_sets', data_source='CIFAR100', data_transform='None', from_pretrain=1, limit_train_samples_in_test_tasks=2000, load_model_path='', loss_type='CrossEntropy', lr=0.001, meta_batch_size=16, meta_complex_w=0.01, mode='LoadMetaModel', model_name='CIFARNet', n_inner_steps=50, n_meta_test_epochs=40, n_meta_train_chars=1200, n_meta_train_classes=500, n_meta_train_epochs=50, n_pixels_shuffles=200, n_test_tasks=10, n_train_tasks=15, result_dir='saved_epoch/CIFAR100__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01_pre-1', run_name='CIFAR100__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01_pre-1', seed=1, task_complex_w=0.01, test_batch_size=128)
--------------------------------------------------
Pre-trained  prior loaded from saved_epoch/CIFAR100__comp_NewBoundSeeger_ntr_15_nte_10_task-w_0.01_meta-w_0.01_pre-1/model.pt
---- Generating 10 test-tasks with at most 2000 training samples
Meta-Testing with transferred prior....
---------------------Test on Epoch_10------------------------
Meta-Testing task 1 out of 10...
(80.0%)	Epoch: 32 	 Batch: 0 	 Objective: 0.001524 	  Acc: 1.0	 Empiric Loss: 0.0009388	 Intra-Comp. 0.05856, w_kld 0.0006327, b_kld 0.0002318
(82.5%)	Epoch: 33 	 Batch: 0 	 Objective: 0.001799 	  Acc: 1.0	 Empiric Loss: 0.001205	 Intra-Comp. 0.05949, w_kld 0.0006374, b_kld 0.0002328
(85.0%)	Epoch: 34 	 Batch: 0 	 Objective: 0.001947 	  Acc: 1.0	 Empiric Loss: 0.001348	 Intra-Comp. 0.05994, w_kld 0.0006419, b_kld 0.0002341
(87.5%)	Epoch: 35 	 Batch: 0 	 Objective: 0.001606 	  Acc: 1.0	 Empiric Loss: 0.001018	 Intra-Comp. 0.05885, w_kld 0.0006467, b_kld 0.0002359
(90.0%)	Epoch: 36 	 Batch: 0 	 Objective: 0.001574 	  Acc: 1.0	 Empiric Loss: 0.0009871	 Intra-Comp. 0.05874, w_kld 0.0006511, b_kld 0.0002372
(92.5%)	Epoch: 37 	 Batch: 0 	 Objective: 0.001088 	  Acc: 1.0	 Empiric Loss: 0.0005201	 Intra-Comp. 0.05678, w_kld 0.0006554, b_kld 0.0002388
(95.0%)	Epoch: 38 	 Batch: 0 	 Objective: 0.001432 	  Acc: 1.0	 Empiric Loss: 0.0008497	 Intra-Comp. 0.05823, w_kld 0.0006597, b_kld 0.00024
(97.5%)	Epoch: 39 	 Batch: 0 	 Objective: 0.001237 	  Acc: 1.0	 Empiric Loss: 0.0006623	 Intra-Comp. 0.05745, w_kld 0.0006639, b_kld 0.0002413
MaxPosterior Average Test Error: 16.2%	 Runtime: 112.8719108569785 [sec]
Meta-Testing task 3 out of 10...
(0.0%)	Epoch: 0 	 Batch: 0 	 Objective: 1.652 	  Acc: 0.312	 Empiric Loss: 1.648	 Intra-Comp. 0.3432, w_kld 0.0, b_kld 0.0
(2.5%)	Epoch: 1 	 Batch: 0 	 Objective: 0.8315 	  Acc: 0.75	 Empiric Loss: 0.8289	 Intra-Comp. 0.2584, w_kld 9.257e-05, b_kld 6.022e-05
(5.0%)	Epoch: 2 	 Batch: 0 	 Objective: 0.4246 	  Acc: 0.875	 Empiric Loss: 0.4226	 Intra-Comp. 0.1993, w_kld 0.0001505, b_kld 9.456e-05
(7.5%)	Epoch: 3 	 Batch: 0 	 Objective: 0.5596 	  Acc: 0.812	 Empiric Loss: 0.5574	 Intra-Comp. 0.2212, w_kld 0.0001957, b_kld 9.79e-05
(10.0%)	Epoch: 4 	 Batch: 0 	 Objective: 0.1663 	  Acc: 1.0	 Empiric Loss: 0.1648	 Intra-Comp. 0.1438, w_kld 0.0002422, b_kld 0.0001137
(12.5%)	Epoch: 5 	 Batch: 0 	 Objective: 0.5179 	  Acc: 0.875	 Empiric Loss: 0.5157	 Intra-Comp. 0.2147, w_kld 0.0002894, b_kld 0.0001315
(15.0%)	Epoch: 6 	 Batch: 0 	 Objective: 0.4054 	  Acc: 0.875	 Empiric Loss: 0.4034	 Intra-Comp. 0.1959, w_kld 0.0003427, b_kld 0.0001468
(17.5%)	Epoch: 7 	 Batch: 0 	 Objective: 0.05642 	  Acc: 1.0	 Empiric Loss: 0.05537	 Intra-Comp. 0.1051, w_kld 0.000394, b_kld 0.0001568
(20.0%)	Epoch: 8 	 Batch: 0 	 Objective: 0.05632 	  Acc: 1.0	 Empiric Loss: 0.05527	 Intra-Comp. 0.105, w_kld 0.0004401, b_kld 0.0001808
(22.5%)	Epoch: 9 	 Batch: 0 	 Objective: 0.1384 	  Acc: 0.938	 Empiric Loss: 0.137	 Intra-Comp. 0.1357, w_kld 0.0004853, b_kld 0.0002057
(25.0%)	Epoch: 10 	 Batch: 0 	 Objective: 0.02142 	  Acc: 1.0	 Empiric Loss: 0.02058	 Intra-Comp. 0.08419, w_kld 0.0005231, b_kld 0.0002117
(27.5%)	Epoch: 11 	 Batch: 0 	 Objective: 0.0406 	  Acc: 1.0	 Empiric Loss: 0.03963	 Intra-Comp. 0.09683, w_kld 0.0005556, b_kld 0.0002315
(30.0%)	Epoch: 12 	 Batch: 0 	 Objective: 0.02895 	  Acc: 1.0	 Empiric Loss: 0.02805	 Intra-Comp. 0.08965, w_kld 0.0005826, b_kld 0.0002427
(32.5%)	Epoch: 13 	 Batch: 0 	 Objective: 0.01902 	  Acc: 1.0	 Empiric Loss: 0.0182	 Intra-Comp. 0.08225, w_kld 0.000607, b_kld 0.0002544
(35.0%)	Epoch: 14 	 Batch: 0 	 Objective: 0.008249 	  Acc: 1.0	 Empiric Loss: 0.007535	 Intra-Comp. 0.07132, w_kld 0.0006275, b_kld 0.000266
(37.5%)	Epoch: 15 	 Batch: 0 	 Objective: 0.01616 	  Acc: 1.0	 Empiric Loss: 0.01537	 Intra-Comp. 0.07976, w_kld 0.0006471, b_kld 0.0002729
(40.0%)	Epoch: 16 	 Batch: 0 	 Objective: 0.004197 	  Acc: 1.0	 Empiric Loss: 0.003545	 Intra-Comp. 0.06513, w_kld 0.0006622, b_kld 0.000282
(42.5%)	Epoch: 17 	 Batch: 0 	 Objective: 0.003876 	  Acc: 1.0	 Empiric Loss: 0.00323	 Intra-Comp. 0.06452, w_kld 0.0006761, b_kld 0.0002863
(45.0%)	Epoch: 18 	 Batch: 0 	 Objective: 0.005307 	  Acc: 1.0	 Empiric Loss: 0.004637	 Intra-Comp. 0.06707, w_kld 0.0006888, b_kld 0.0002904
